toma,reologia,fibras,zona,n_fibras,orden_S,theta_med,sigma_iso,indice_uniformidad,fiable,objetivo,calidad_orientacion,desviacion_media,V_cuasi,V_transicion,omega_cuasi,omega_transicion,gamma_dot_cuasi,gamma_dot_transicion
m80,car-02,3000,Vf2c1,133,0.21389044690039702,169.96443781488728,32.04002722067356,0.36955449416581215,True,135.0,0.5367021431436625,42.18338571428572,1.1817367672920227,16.745457649230957,0.07497068122029305,0.42385874688625336,0.17306222021579742,0.9489931464195251
m80,car-02,3000,Vf2c2,195,0.4908779823818785,3.0423684051694417,31.00028758112855,0.3320706344893838,True,0.0,0.7440562411372276,26.382483589743593,0.6306828856468201,11.345502853393555,0.12244478240609169,0.3815598487854004,0.2863650918006897,0.7953252196311951
m80,car-02,3000,Vf2c3,53,0.7918644351166645,175.99863909645765,11.742412091291044,0.34380055900147977,True,45.0,0.4448782600580666,48.03090943396225,0.5672632157802582,,0.12402511388063431,,0.28108881413936615,
m83,car-05,3000,Vf1c1,149,0.2119042946980423,87.22264422842575,15.083092774692313,0.2578174601756392,True,135.0,0.4897442337915849,45.47771208053691,,2.466047763824463,,0.2524835169315338,,0.5785644054412842
m83,car-05,3000,Vf2c1,222,0.20765651237787802,48.04332930211391,27.404626020141983,0.26767367291592825,True,135.0,0.3967570588991552,52.54795,1.767777681350708,5.295824289321899,0.14022748172283173,0.30202504992485046,0.3310824930667877,0.6684449911117554
m83,car-05,3000,Vf2c2,52,0.34947334966957116,17.378888030877064,18.60873472318506,0.2564725445952655,True,0.0,0.643558335090811,34.324190384615385,1.118135392665863,3.0669890642166138,0.1893218606710434,0.12042922526597977,0.41423919796943665,0.2538474500179291
m86,car-05,750,Vf1c1,50,0.13850350896863725,147.00635354547416,14.459781330296945,0.3138848610344717,True,135.0,0.5632583772434725,40.116074,,,,,,
m86,car-05,750,Vf2c1,127,0.20618371415294712,25.816106086278243,29.49500259885809,0.32028083757314174,True,135.0,0.4191715977000632,50.70950314960629,1.5925620794296265,4.439713001251221,0.16106551885604858,0.365961492061615,0.3784957528114319,0.8249511420726776
m86,car-05,750,Vf2c2,49,0.5654199645372048,34.706785538747816,20.623582080605384,0.39368031653197777,True,0.0,0.5994064623349292,37.26895306122449,0.9538201689720154,,0.19192686676979065,,0.4293200373649597,
m87,car-05,750,Vf1c1,51,0.35378655810709686,120.5196376139087,11.308355888936948,0.2821254256378148,True,135.0,0.6547730982076033,33.11011960784314,1.6958081126213074,2.3550188541412354,0.12677403539419174,0.277813583612442,0.28382691740989685,0.6314242482185364
m87,car-05,750,Vf2c1,122,0.5843834046740288,22.119464153887847,26.57811490603968,0.3119961514662568,True,135.0,0.2961518655898226,59.39942950819672,1.9797570705413818,5.2459330558776855,0.13993629068136215,0.28064465522766113,0.3278459161520004,0.623498260974884
m87,car-05,750,Vf2c2,55,0.3028889822060553,34.18208895434645,20.300195372297306,0.3208618035115548,True,0.0,0.5558384606502862,40.934679999999986,1.2710759043693542,3.0640869140625,0.18484652042388916,0.10886284708976746,0.4025215059518814,0.23428352177143097
m91,car-05,3000,Vf1c1,123,0.30862486585671933,99.73598370864214,15.562549430601104,0.26817493015416155,True,135.0,0.5514393738916223,41.48512520325203,,2.288785457611084,,0.28526726365089417,,0.6448563933372498
m91,car-05,3000,Vf2c1,199,0.270068723713009,21.73806160857948,24.668206069116273,0.27657099333939,True,135.0,0.40708930595817383,51.64785778894472,1.436953365802765,4.99802303314209,0.14734748750925064,0.3360981047153473,0.3507033437490463,0.7539719939231873
m91,car-05,3000,Vf2c2,48,0.5099116511351659,16.680105704994286,19.508844376606177,0.28012627688500114,True,0.0,0.7129467385909916,30.107139583333332,1.0221589803695679,3.033685088157654,0.1714145690202713,0.11405272409319878,0.37270021438598633,0.2437201887369156
m94,car-05,1500,Vf1c1,112,0.12624932463445673,149.86302669038005,12.544663149456753,0.26062517176474603,True,135.0,0.5548178437753275,41.285791964285714,,,,,,
m94,car-05,1500,Vf2c1,298,0.303014846814458,26.673505918451994,26.43595980550584,0.2585511507826642,True,135.0,0.37845078598003046,53.7876399328859,1.5308184623718262,,0.17808634042739868,,0.4178861081600189,
m94,car-05,1500,Vf2c2,37,0.2601363835229823,18.721094689236967,13.603238560143474,0.257939774644075,True,0.0,0.6032698738492108,37.24174324324324,0.9321774542331696,,0.19516020268201828,,0.4299669712781906,
m95,car-05,1500,Vf1c1,130,0.06615823302039335,69.67948760808716,16.14828862946081,0.24611465041136948,True,135.0,0.47845498585095514,46.38535999999999,,2.3946762084960938,,0.26835447549819946,,0.6073088645935059
m95,car-05,1500,Vf2c1,288,0.33939007595475373,29.00115234203876,26.410772653124084,0.2726608129914282,True,135.0,0.3560868290733451,55.49897673611111,1.7395066022872925,5.347346305847168,0.13973768055438995,0.29195210337638855,0.3313885033130646,0.6606727838516235
m95,car-05,1500,Vf2c2,74,0.23407146967537368,19.49810983904098,22.971892828780142,0.2349752654127293,True,0.0,0.5909587080316133,37.367605405405406,1.1486105918884277,3.0925137996673584,0.17735515534877777,0.10328971222043037,0.3868445158004761,0.21775437146425247
